id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1035,IPL-2024,Lucknow,30-03-2024,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,normal,1,Lucknow Super Giants,21.0,0.0,MP Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,
1036,IPL-2024,Ahmedabad,31-03-2024,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,normal,1,Gujarat Titans,0.0,7.0,MM Sharma,"Narendra Modi Stadium, Ahmedabad",,,
1037,IPL-2024,Visakhapatnam,31-03-2024,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,normal,1,Delhi Capitals,20.0,0.0,KK Ahmed,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,
1038,IPL-2024,Mumbai,01-04-2024,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,1,Rajasthan Royals,0.0,6.0,TA Boult,"Wankhede Stadium, Mumbai",,,
1039,IPL-2024,Bengaluru,02-04-2024,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,Lucknow Super Giants,28.0,0.0,MP Yadav,"M Chinnaswamy Stadium, Bengaluru",,,
1040,IPL-2024,Visakhapatnam,03-04-2024,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,1,Kolkata Knight Riders,106.0,0.0,SP Narine,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,
1041,IPL-2024,Ahmedabad,04-04-2024,Gujarat Titans,Punjab Kings,Punjab Kings,field,normal,1,Punjab Kings,0.0,3.0,Shashank Singh,"Narendra Modi Stadium, Ahmedabad",,,
1042,IPL-2024,Hyderabad,05-04-2024,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,1,Sunrisers Hyderabad,0.0,6.0,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",,,
1043,IPL-2024,Jaipur,06-04-2024,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,1,Rajasthan Royals,0.0,6.0,JC Buttler,"Sawai Mansingh Stadium, Jaipur",,,
1044,IPL-2024,Mumbai,07-04-2024,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,1,Mumbai Indians,29.0,0.0,R Shepherd,"Wankhede Stadium, Mumbai",,,
1045,IPL-2024,Lucknow,07-04-2024,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,bat,normal,1,Lucknow Super Giants,33.0,0.0,Yash Thakur,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,
1046,IPL-2024,Chennai,08-04-2024,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,1,Chennai Super Kings,0.0,7.0,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",,,
1047,IPL-2024,Mohali,09-04-2024,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,normal,1,Sunrisers Hyderabad,2.0,0.0,Nithish Kumar Reddy,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",,,
1048,IPL-2024,Jaipur,10-04-2024,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,normal,1,Gujarat Titans,0.0,3.0,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",,,
1049,IPL-2024,Mumbai,11-04-2024,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,1,Mumbai Indians,0.0,7.0,JJ Bumrah,"Wankhede Stadium, Mumbai",,,
1050,IPL-2024,Lucknow,12-04-2024,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,normal,1,Delhi Capitals,0.0,6.0,Kuldeep Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,
